url,title,date_extracted,content,category
https://www.1tv.ru/news/2008-03-10/191992-gaz_vnutrennego_sgoraniya_chyu_reputatsiyu_podzheg_na_ukraine_goluboy_ogonek,Газ внутреннего сгорания. Чью репутацию поджег на Украине «голубой огонек»?,2008-03-10,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-01-24/195847-dmitriy_medvedev_v_voronezhe_provel_soveschanie_po_problemam_voennosluzhaschih,Дмитрий Медведев в Воронеже провел совещание по проблемам военнослужащих,2008-01-24,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-07-27/186628-doli_telekanalov_26_iyulya_2008_goda,Доли телеканалов 26 июля 2008 года,2008-07-27,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-05-04/188676-rossiyskie_voennye_zavershayut_podgotovku_k_paradu_pobedy,Российские военные завершают подготовку к Параду Победы,2008-05-04,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-01-25/195918-na_kinostudii_mosfilm_prohodit_tseremoniya_vrucheniya_premii_zolotoy_orel,На киностудии Мосфильм проходит церемония вручения премии «Золотой орел»,2008-01-25,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-06-08/190465-v_londone_proshli_neobychnye_sorevnovaniya_po_pryzhkam_v_vodu,В Лондоне прошли необычные соревнования по прыжкам в воду,2008-06-08,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-06-16/190845-podryadchikam_ne_dadut_tormozit_stroitelstvo_nefteprovoda_iz_vostochnoy_sibiri,Подрядчикам не дадут тормозить строительство нефтепровода из Восточной Сибири,2008-06-16,"Президент поставил задачу перед компанией «Транснефть», которая ведет строительство нефтепровода из Восточной Сибири к берегам Тихого океана, чтобы никаких сбоев в ходе работ не было.",
https://www.1tv.ru/news/2008-03-27/192972-6_tigrov_zanochevali_v_zabroshennoy_pozharnoy_chasti_realnaya_istoriya_iz_germanii,6 тигров заночевали в заброшенной пожарной части. Реальная история из Германии,2008-03-27,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-05-26/189794-v_moskovskom_sovremennike_premiera_spektaklya_po_piese_andreya_platonova_sharmanka,В московском «Современнике»-премьера спектакля по пьесе Андрея Платонова «Шарманка»,2008-05-26,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-08-15/187854-rossiyskie_olimpiytsy_zanyali_treti_mesta_srazu_v_5_vidah_sporta,Российские олимпийцы заняли третьи места сразу в 5 видах спорта,2008-08-15,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
